微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwElymSX9,湖北新闻News,湖北新闻News:【全球首例新冠肺炎病人肺移植手术成功，患者术后状态平稳】#全国首例新冠肺炎转阴患者双肺移植术# #全球首例新冠肺炎病人肺移植手术# #关注新冠肺炎#  湖北新闻News的微博视频  ,无,无,2020-03-01 23:52,微博视频,2,0,0
IwEly69Rp,ARS潜龙,ARS潜龙:新冠肺炎疫情阴影下，以食用为目的的野生动物驯养繁殖、交易遭“急刹车”。近日，广东省江门市台山市2000万斤泰国虎纹蛙压塘，100多名泰国虎纹蛙养殖农民递交联名信写到，从2000年开始，江门市台山市的蛙农就开始专业养殖泰国虎纹蛙子二代品种，如今已发展成为200多户养蛙专业户，养殖水面积达2300亩，大部分农户为贷款养殖，禁食令致农户损失惨重，“至少要给我们一个缓冲期”。对此，2月29日，海南师范大学... http://t.cn/A67i16kw认同作者观点，一刀切无法解决现实问题。全世界所有的家鸡家猪家鸭家鹅都是，从野生动物驯养的，最终成为俺们人类餐桌蛋白质的主要来源。再说了梅花鹿的鹿茸的软骨素、麝的麝香都是中药的一种成分。将麝人工特种养殖，有利于保证充沛的动物麝香的供应。麝香作为麝香保心丸等许多中药方的成分，有提高药效的作用。不认同一刀切方案 原图 ,无,无,2020-03-01 23:52,OPPO智能手机,0,0,1
IwElxuZU9,澳門城市快報史丹利,澳門城市快報史丹利:【兩岸】多個屋苑現偽造出入證　警方介入調查新冠肺炎肆虐神州，多地政府一度實施封閉式管理，居民進出屋苑必須出示臨時出入證，惟出入證大多製作簡單。北京多個屋苑近期接連發現，有人持偽造出入證進出屋苑。目前，警方已介入調查。其中一宗案件發生於2月29日上午10時許，一名董姓男子從天通苑第一社區北門離開，向街道幹部出示了一張偽造出入證。由於該張出入證顏色較暗黑，與真出入證的淺藍色有差異，加上紙質不同，街道幹部便截停董男詢問。董男聲稱，他2月23日剛從山東回來，是附近一間餐廳的員工，他與7名朋友在該屋苑合租，手上的出入證是由該餐廳負責人為他們統一辦理。經詢問後，街道幹部立即報警求助，並把董男及出入證一併移交警方調查。天通西苑第一社區書記杜佳表示，該案並非唯一一宗持假證出入的案件，該社區在2月26日亦曾發現偽造出入證，該些出入證的字體和內容均與普通證件相同，只是顏色、紙質有所區別，為社區人員排查增加了困難。 [组图共2张] 原图 ,无,无,2020-03-01 23:52,微博 weibo.com,0,0,0
IwElwB4f7,一品姑苏城,一品姑苏城:【日本累计确诊新冠肺炎患者961例 已死亡12人】截至日本当地时间3月1日22时，日本累计确诊新冠肺炎病例961例，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月1日，北海道和爱知县新确诊3人，东京都和神奈川县新确诊2人，千叶县、高知县、福冈县、兵库县等4县各确诊1人，当天新确诊14名新冠肺炎患者，在日本国内的日本人和中国游客等累计确诊242例；“钻石公主”号邮轮累计确诊705例；从武汉乘坐包机返回者累计确诊14例。北海道政府1日称，2月29日晚上7时左右，居住在北海道的一名70多岁的新冠肺炎患者死亡。http://t.cn/A67iOk3K 原图 ,无,无,2020-03-01 23:52,人民日报客户端,0,0,0
IwElvaxuK,用户5307539451,用户5307539451:2020年3月1日重庆市新冠肺炎疫情情况 http://t.cn/A67MDk1E  原图 ,无,无,2020-03-01 23:52,学习强国客户端,0,0,0
IwElsdK6I,个股资讯,个股资讯:Y-mAbs Therapeutics YMAB 中国留韩学生确诊新冠肺炎 沈阳市通报其行程情况，点击链接查看更多-> http://t.cn/A67i1Jaw  ,无,无,2020-03-01 23:52,微博股票,0,0,0
IwElq7jvP,佛系摩羯Forever,佛系摩羯Forever:#记录这一刻# 洛阳连续15天无新增无疑似全市新冠肺炎清零感恩每一天期待春暖花开  ,无,无,2020-03-01 23:52,iPhone客户端,1,0,0
IwEllpAvw,小小小那谁,小小小那谁:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:52,学习强国客户端,0,0,0
IwElkdQg4,2015优雅女人,2015优雅女人:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:52,学习强国客户端,0,0,0
IwElisPZL,龙头新闻,龙头新闻:#关注新冠肺炎# 【鸡西市又一名新冠肺炎患者治愈出院，已累计出院32例】3月1日，鸡西市又一名新冠肺炎患者在鸡西市中医医院治愈出院。该患者68岁，男性， 2月14日被确诊为新冠肺炎。该患者入院后，经专家组会诊后确定为重型患者，后经系统化精心对症等治疗，病情逐渐好转。复查胸部CT，病灶明显吸收，无发热等症状。2次痰核酸检测均阴性，符合国家新型冠状病毒肺炎第六版出院标准，临床治愈，准予出院。链接: http://t.cn/A67i7O16 原图 ,无,无,2020-03-01 23:52,iPhone客户端,0,0,0
IwElisPCa,神人我2014,神人我2014:又损失一员大将，，，，，，【致哀！河南#36岁医生抗疫时心脏骤停去世#，医院：连续工作了39天[蠟燭]】2月28日凌晨4时许，河南宝丰县中医院新冠肺炎医疗救治专家组副组长袁洋洋突发心脏骤停，经抢救无效去世，年仅36岁。医院工作人员表示，袁洋洋此前已连续工作39天，家中还有2个年幼的孩子，目前相关事宜正在处理中 ,无,无,2020-03-01 23:52,360安全浏览器,0,0,0
IwElioP0A,太阳不晒背,太阳不晒背:#十部委 严控公立医院数量# 没有公立医院哪来的新冠肺炎的阶段成果？！！！没有公立医院哪来的能随时奔赴战场的医疗战士！！！！！卖国贼不得好死，卖国贼千刀万剐@人民网 @司法部 @局座召忠 睁开眼睛看一看！！！！中华人民共和国是属于人民的！！！  [组图共3张] 原图 ,无,无,2020-03-01 23:52,Redmi K20,38,3,2
IwElgmAFv,Orange_With_Bits,Orange_With_Bits:#英国新增12名新冠肺炎感染者#我觉得上网课也没问题 反正平时都是自学的 英国·Lancaster University  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:52,iPhone客户端,0,0,2
IwElfasdv,聚焦湖湘,聚焦湖湘:#日本网友用中文表达感谢#【中国向日本捐赠5000套防护服和10万只口罩 #日本网友用中文表达感谢#】中国驻日本大使馆官方推特1日早晨发布了关于中国向日本捐赠5000件防护服和10万只口罩的推文，文中这样写道：“为支持、协助日本应对新冠肺炎疫情，在无偿提供检测用试剂盒之后，中国又捐赠了5000件防护服及10万只口罩，其中一部分已于2月27日、28日完成交付。今后我们也将根据日本方面的需求，在力所能及的范围提供支援与帮助，和日本的大家一起共渡难关。” [组图共9张] 原图 ,无,无,2020-03-01 23:52,iPhone 6s,2,0,1
IwEleAMxl,牛人范宝宝,牛人范宝宝:#英国新增12名新冠肺炎感染者#中国留学生不可以一起联合起来请个愿什么的吗？要么停课，要么宣传戴口罩  ,无,无,2020-03-01 23:52,vivo X20全面屏手机,0,0,0
IwEldoN0e,婊渣视频,婊渣视频:凌晨四点的武汉，是谁守护这座危机中的城市？#美国出现首例新冠肺炎死亡病例##全国累计确诊新冠肺炎79824例#热门视频合集的微博视频  ,无,无,2020-03-01 23:52,微博 weibo.com,0,0,0
IwEldrwO6,有度为王,有度为王:《最短5天出院！中医、中药上热搜，真的有效吗？专家回应》新冠肺炎战疫中，中医、中药多次出现在热搜中，中医药以及中西医结合救治新冠肺炎有哪些优势。http://t.cn/A67i1cft  原图 ,无,无,2020-03-01 23:52,iPhone客户端,2,4,1
IwElceCgP,快乐生活2016,快乐生活2016:【美国副总统：未来可能会出现更多死亡病例】美国副总统彭斯在接受CNN一档节目采访时表示，美国未来可能会出现更多新冠肺炎死亡病例。他说，“我们可能会听到更多的噩耗，但是美国人应该知道对普通人而言，感染病毒的几率依旧很低。”  ,无,无,2020-03-01 23:52,360安全浏览器,0,0,0
IwElb2yVJ,兔女郎异乡人live001,兔女郎异乡人live001:看《新冠肺炎疫情发展时间线》就用神漫画！超多漫画任你选，还有超多有趣的人喔～http://t.cn/A6hIRUhz  原图 ,无,无,2020-03-01 23:51,神漫画,0,0,0
IwElatERB,苦澄不苦-,苦澄不苦-:#英国新增12名新冠肺炎感染者#我今年的留学路怎么这么坎坷....  ,无,无,2020-03-01 23:51,杨九郎的张云雷V+,1,0,1
IwEl8Feos,阜阳攻略,阜阳攻略:【#德国新增51例累计确诊117例#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月1日上午10时，德国新增51例，累计确诊117例新冠病毒肺炎感染病例。 阜阳  显示地图 ,无,#德国新增51例累计确诊117例#,2020-03-01 23:51,iPhone 11,0,0,0
IwEl8E23e,荆棘花环,荆棘花环:没有在昨天那个【四年一遇】的日子里写下什么，但想要在这个三月的开始Mark一下。1.最艰难的二月。新冠肺炎爆发，大家都关门闭户，挂怀每日疫情数据，研究起面食的各类做法，惋惜最长寒假却不能出门玩。2.最敬业的二月。停课不停学的号召，被迫化身主播在线授课，还要隔着网线催作业，刚适应了QQ群布置批改作业，又要投入AI学的试炼。无数次叹息，快开学吧，上班使我快乐! [组图共2张] 原图 ,无,无,2020-03-01 23:51,Samsung Galaxy S8,0,0,0
IwEl585a2,国际知识研究,国际知识研究:南亚国家一共15亿人口，目前已经在印度，阿富汗、巴基斯坦、尼泊尔、斯里兰卡等国发现新冠肺炎，应当严防回流！  [组图共3张] 原图 ,无,无,2020-03-01 23:51,微博 weibo.com,5,0,0
IwEl4gC4Y,爱明心姐姐,爱明心姐姐:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JeJxh  原图 ,无,无,2020-03-01 23:51,学习强国客户端,0,0,0
IwEkWymXO,oO细节Oo爱情oO柴米油盐酱醋茶Oo,oO细节Oo爱情oO柴米油盐酱醋茶Oo:我在看：【首例新冠肺炎肺移植手术完成 会再次感染吗？】#跟新浪看热点#  首例新冠肺炎肺移植手术完成 会再次感染吗？  ,无,无,2020-03-01 23:51,新浪新闻客户端,0,0,0
IwEkWx5AC,JX咸鱼早日上岸,JX咸鱼早日上岸:#英国新增12名新冠肺炎感染者#一边罢工没课上一边肺炎没人戴口罩😷我到底是来这儿干嘛的 英国·伦敦  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:51,iPhone XR,127,1,34
IwEkVo7b2,华媒头条,华媒头条:#华媒头条# 【#太原确诊患者全部治愈出院#，山西连续5天无新增】3月1日，山西太原最后一名新冠肺炎确诊患者治愈出院。该患者77岁，因发热于2月13日入院，经治疗符合出院标准。至此，太原市20例确诊患者全部治愈出院。山西全省已连续5天无新增病例，疑似病例清零，治愈出院114例。来源： http://t.cn/A67i1247 ,无,无,2020-03-01 23:51,iPhone客户端,0,0,0
IwEkPrlGG,凡尘如果的123,凡尘如果的123:关于新冠肺炎的最新判断，一图读懂！ http://t.cn/A67xh58Y  原图 ,无,无,2020-03-01 23:51,学习强国客户端,0,0,0
IwEkPdlTh,阜阳攻略,阜阳攻略:【#伊朗新增新冠肺炎385例#，#伊朗累计新冠肺炎978例#】据外媒报道，伊朗卫生部发言人贾汉普尔3月1日在国家电视台宣布，过去24小时伊朗新增新冠肺炎感染者385例，累计978例，累计死亡人数达54例。 阜阳  显示地图 ,无,#伊朗累计新冠肺炎978例#,2020-03-01 23:51,iPhone 11,0,0,0
IwEkP9Dua,澳門城市快報史丹利,澳門城市快報史丹利:【兩岸】珠海老闆開假證明　助湖北同鄉離疫區正當外界仍就武漢監獄女釋囚返回北京後確診新冠肺炎的事件議論紛紛之際，廣東珠海竟傳出有戴姓公司老闆開具虛假證明，讓同鄉及家人憑證明成功申請離開湖北省。事後戴某及其同鄉均被處以行政拘留處分。祖籍湖北的45歲戴姓男子，目前在珠海市香洲區前山街道經營裝修設計公司。2月22日，他給非公司員工的湖北同鄉、44歲的戴女一家四人開具急需回珠海工作的虛假召回證明，而戴女及家人憑證明到湖北省鄂州市疫情防控指揮部申請離開湖北並獲准。2月25日，戴女等4人開車抵達珠海市斗門區白蕉鎮時被小區保安發現，並及時上報社區疫情防控工作人員。目前，戴女一家在集中隔離點接受醫學觀察。2月28日，香洲警方在調查取證後，認為戴男及戴女在疫情期間不顧湖北省嚴控人員輸出的決定，以及珠海市新冠肺炎防控指揮部和香洲區人民政府要求留在湖北等疫情嚴重地區的員工，暫不返珠海的決定，分別對戴男及戴女給予10天和5天行拘處分。 ,无,无,2020-03-01 23:51,微博 weibo.com,2,0,0
IwEkOirsp,湖北私家车广播,湖北私家车广播:【#大叔溜出重症病房打太极拳被劝回#】#新冠肺炎防控# #抗击新型肺炎进行时# 3月1日，华中科技大学同济医院光谷院区重症病房内，一位大叔“溜出”病房打起了太极拳。正起兴时，被医护人员“抓包”，大叔立马停住，拽了拽衣服，乖乖回了病房。网友：好心态可以有，等康复了再展拳脚！（人民日报）  http://t.cn/A67JOWzg ,无,无,2020-03-01 23:51,微博 weibo.com,0,0,1
IwEkLDoJf,价值投资日志,价值投资日志:在日本引起热议，某药店店员发推：“比起新冠病毒，人更可怕”（大家可以了解一下普通日本人的视角）：1个半月前，每天很多顾客来问，有口罩吗？什么时候进货？有消毒液吗？为什么总没有？能不能预购？以前面带笑容的顾客，现在都像鬼一样可怕；还有人抱怨缺货，每天都在向顾客道歉，说对不起；还接到大量电话，听到电话铃，就会精神紧张；口罩进货，收银就很忙，有的店员呼吸不畅，贫血；每天都要向顾客道歉，快疯掉了，顾客以前都很和善，现在都杀气腾腾，我觉得这些人简直比新冠病毒还可怕。#日本新冠肺炎感染者达945人##全球股市一周蒸发6万亿美元##全球抗疫第一线# [组图共2张] 原图 ,无,无,2020-03-01 23:50,iPhone X,35,8,6
IwEkJyVz4,燕赵观察官微,燕赵观察官微:【每个人要有信心！98岁！全国年龄最大新冠肺炎危重症患者出院】3月1日上午，全国年龄最大的新冠肺炎危重症患者胡婆婆从武汉雷神山医院康复出院，雷神山医院院长王行环教授为她颁发出院证明。“98岁的危重症患者都能康复出院，还在住院治疗的所有新冠肺炎患者都应该更有信心，一定能够战胜疾病。”王行环说。http://t.cn/A67i92CX ,无,无,2020-03-01 23:50,消费日报Android,0,0,0
IwEkJyUmc,特雷傻在意大利,特雷傻在意大利:#全球疫情# #意大利疫情# #意大利新冠疫情LIVE# 捷克共和国最早确诊的3例新冠肺炎病例，都曾到访意大利捷克卫生部部长Adam Vojtech宣布了这一消息。其中两名在布拉格的Bulovka医院，另外一名在Usti nad Labem。目前他们检测样本已经发往德国进行确认。这3名确诊的分别是，一名68岁捷克男子，刚从乌迪内大学的一次演讲返回。另一名是21岁的美国女学生，她在米兰上学，来布拉格旅游。最后一名是44岁的捷克男子，刚从威尼斯维内托大区的Auronzo di Cadore市度假回来，目前他的妻子和孩子都在家中隔离观察。资讯来源Skytg24#意大利[超话]# #意大利北部11个市镇封城隔离# #意大利宣布进入国家紧急状态# #意大利##意大利居民拒戴口罩要自由# 原图 ,无,无,2020-03-01 23:50,微博 weibo.com,1,0,0
IwEkI7hN0,华媒头条,华媒头条:#华媒头条# 【#6名纯中医治疗新冠肺炎患者出院】 3月1日，在雷神山医院接受治疗的16名新冠肺炎患者符合了出院标准，其中6名患者采用纯中医药治疗。来源： 中新视频的秒拍视频  ,无,无,2020-03-01 23:50,iPhone客户端,0,0,1
IwEkHtjWr,xx残月xx,xx残月xx:记忆『记疫：2019-2020抗击新冠肺炎疫情记忆』http://t.cn/A674j98c  ,无,无,2020-03-01 23:50,坚果手机 R1,0,0,0
IwEkHdTAi,陕西韩城旅游,陕西韩城旅游:【#英国新增12名新冠肺炎感染者#，为单日最高增幅】据人民日报记者强薇，3月1日，英国新增12名新冠肺炎感染者，这是自发现病例以来#英国单日确诊人数最多的一天#。目前英国累计35人确诊新冠肺炎。 （人民日报）  原图 ,无,无,2020-03-01 23:50,vivo X23全息幻彩,1,0,0
IwEkHdTAi,陕西韩城旅游,陕西韩城旅游:【#英国新增12名新冠肺炎感染者#，为单日最高增幅】据人民日报记者强薇，3月1日，英国新增12名新冠肺炎感染者，这是自发现病例以来#英国单日确诊人数最多的一天#。目前英国累计35人确诊新冠肺炎。 （人民日报）  原图 ,无,无,2020-03-01 23:50,vivo X23全息幻彩,1,0,0
IwEkGCcU1,搞笑视频免费观看,搞笑视频免费观看:韩国邪教成疫情毒窝！韩媒揭秘曾将魔爪伸向武汉被驱逐#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 搞笑辰辰的微博视频  ,无,无,2020-03-01 23:50,微博云剪,0,0,0
IwEkF8Aaw,宋中清主任律师,宋中清主任律师:#肺炎[超话]##新冠肺炎##世界新型肺炎疫情##新冠疫情讨论# @照妖镜325 #英国新增12名新冠肺炎感染者#伊朗，韩国、意大利、日本、美国都有疫情失控的表现，英国＾０＾~ 照妖镜325的微博视频  北京·世界卫生组织驻中华人民共和国代表处  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:50,肺炎超话,5,0,20
IwEkEfbZ5,福州建设发展,福州建设发展:【超惊艳！福建樱花开了！绝美航拍带你“云赏花海”】近日，福建漳平市永福镇台品樱花茶园里的一株株樱花如约盛开，十里茶道一片花海，美不胜收。往年的2月至3月是永福樱花园最为热闹的时段，来自全国各地的游客会在最佳观赏期来到永福赏花度假。受新冠肺炎疫情影响，今年永福樱花园闭门谢客，热心拍客以航拍形式拍摄樱花园美景，邀请网友一同“云赏花海”。 [组图共9张] 原图 ,无,无,2020-03-01 23:50,iPhone 11 Pro,29,10,7
IwEkEhuC1,枯藤老树05473,枯藤老树05473:全世界都在关注新冠肺炎的时候，一个关乎全球75亿人的消息，迅速淹没在信息流中。很少有人意识到，另一场灾难，正在酝酿之中。2月9日，巴西科学家在南极北端西摩岛测得20.75℃的气温。一位科学家惊恐地说，“我从未见过这样的情况。”是啊，谁都没见过。这是1880年有气象记录以来，南极气温首次突破20℃。中国极地科考船“雪龙号”水手长潘礼锋也直言，“今年南极的温度，确实有些异常。”在我们过去的认知当中，南... http://t.cn/A67i17Kt 原图 ,无,无,2020-03-01 23:50,小米9,1,0,0
IwEkCuG3P,北京外语广播,北京外语广播:北京疾控提醒您：2月29日新冠肺炎新发病例 不涉及京内居民小区2月29日，北京报告2例自伊朗入境的新冠肺炎确诊病例，均为2月26日宁夏确诊病例丁某某在伊朗期间的密切接触者。现将有关流行病学调查情况介绍如下：北京疾控提醒您：2月29日新冠肺炎新发病例 不涉及京内居民小区  ,无,无,2020-03-01 23:50,iPhone客户端,0,0,0
IwEkBhimM,啵儿白,啵儿白:#英国新增12名新冠肺炎感染者# 我还要不要去上课  ,无,无,2020-03-01 23:50,前后2000万 OPPO R11,0,0,3
IwEkyCiGZ,甘南广播电视台,甘南广播电视台:【甘肃省出台多项措施，为抗疫一线医护人员保驾护航】为切实关心医务人员身心健康，齐心协力打赢疫情防控阻击战，省政府办公厅2月28日转发了《省卫生健康委等6部门关于改善一线医务人员工作条件切实关心医务人员身心健康具体措施》，提出了多项具体措施。并要求各地各部门要进一步细化措施，切实关心关爱医务人员，帮助他们解决实际困难和问题。维护身心健康一线人员连续工作不得超一个月《措施》提出，要为医务人员提供良好的工作和生活条件，重点改造医生办公室、值班室和休息室，营造有利于医务人员工作的良好环境。县级以上地方人民政府可依法征用医疗机构周边酒店为一线医务人员提供休息（隔离）场所，以满足一线医务人员单人单间休息条件，并做好饮食、基本生活用品等后勤保障。要做好对一线医务人员的人文关怀，尽量不安排双职工的医务人员同时到一线工作。安排专门人员或志愿者对有家庭困难的一线医务人员家属进行“一对一”对口帮扶。对于一线医务人员子女教育给予更多帮助关爱。创造更加安全的执业环境。加大警力投入，对发现有歧视孤立一线医务人员及其家属行为的，要及时进行批评教育，情节严重的依法予以处理。对在疫情防控工作中伤害医务人员、故意传播病原体等违法犯罪活动的，要坚决依法严肃查处。合理安排医务人员作息时间。省内各定点医院一线医务人员，原则上连续工作时间不得超过一个月，甘肃省援助湖北医疗队、疾控队和援助省级定点医院（兰州市肺科医院）医疗队工作人员连续工作时间应进一步缩短。一线医务人员返岗隔离期满后，由本级本单位统一安排一次免费体检，根据本人意愿灵活安排累计不超过15天的带薪休假。要加强医疗卫生机构硬件设施改造，防护用品调配要向临床一线倾斜，发现医务人员感染要及时隔离、全力救治。开展医务人员心理危机干预和心理疏导，为全省医务人员提供线上心理支持服务。减轻医务人员心理压力，对已发生应激症状的医务人员要及时安排调休和心理援助。对一线人员倾斜优先享受评职称和先进在援助湖北和我省疫情防控阻击战一线贡献突出的工作人员，同等条件下优先晋升职称。对在疫情防控中作出突出贡献并获得各级表彰的专业技术人才，在职称评审中按我省已经颁布的各系列（专业）职称评价条件标准中相应表彰级别对待。“攻坚组”“突击组”“专家组”等团队获得的表彰或奖励，团队个人可按相应级别业绩对待。申报全省范围有效职称时，在疫情防控中作出突出贡献并获国家部委及以上表彰的，可破格晋升高级职称；获省级表彰并符合任职年限要求的，参考其他业绩，由评委会考核认定高级职称；获市厅级表彰并符合任职年限要求的，参考其他业绩可申报高一级职称（不含正高），由评委会评审认定；获县级表彰并符合任职年限要求的，参考其他业绩可申报中级职称，由评委会评审认定。申报全省县以下基层范围有效高级职称时，在疫情防控中作出突出贡献获市厅级表彰并符合任职年限要求的，参考其他业绩，由评委会考核认定正高级职称；获县级表彰并符合任职年限要求的，参考其他业绩，由评委会考核认定副高级职称；对长期加班、值班、长时间超负荷工作的，按具备1条“超额工作量”量化业绩对待。一线医务人员申报高级职称时，专业实践能力考核认定为合格，医务人员参加疫情防治经历可视同为一年基层工作经历。获市厅级以上表彰、奖励、科技奖励的不将年度考核优秀作为申报正高职称的限制性条件。对疫情防治一线作出贡献的医务人员晋升职称、晋升岗位等级不受本单位岗位结构比例限制，同等条件下可优先聘用到相应空缺专业技术岗位，本单位没有相应岗位空缺的可超岗位聘用，以后逐步消化。在国家级人才项目选拔推荐中，对在一线参与抗击新冠肺炎疫情并发挥积极作用、作出突出贡献的专业技术人才予以倾斜。在甘肃省领军人才、甘肃省优秀专家等我省人才工程计划实施中，对业务能力过硬、专业贡献显著、业绩特别突出的防疫科研人员和医疗卫生专业技术人才，可不受申报名额限制，优先给予支持。为我省援助湖北医疗队、疾控队队员在半年内提供一次免费省内旅游。全省医务人员一年内凭有效证件享受省内142家景区、126家酒店和10家旅行社优惠待遇（具体名单和优惠措施以省文化和旅游厅公布为准）。核增一次性绩效工资支援湖北队员薪酬水平提高两倍对参加疫情防治的医务人员和防疫工作者发放临时性工作补助。在此基础上，疫情防控期间，将甘肃省援助湖北医疗队、疾控队队员临时性工作补助相应标准提高1倍。各地要抓好国家出台提高卫生防疫津贴标准政策的落实，扩大卫生防疫津贴发放范围，确保覆盖全体一线医务人员，及时足额发放到位。疫情防控期间，各级人社、财政部门要根据承担新型冠状病毒肺炎疫情防治工作任务情况，因地制宜向承担防控任务重、风险程度高的医疗卫生机构核增一次性绩效工资总量，不作为绩效工资总量基数，将甘肃省援助湖北医疗队、疾控队队员薪酬水平提高2倍，疫情结束后不再执行。在内部分配时，向敢于担当、勇挑重担、加班加点参加疫情防控的一线工作人员，特别是作出突出成绩的人员倾斜。做好因履行工作职责感染新冠肺炎医务人员的工伤认定，开辟绿色通道，简化待遇支付程序，保障医务及相关人员及时享受工伤保险待遇。为一线医务人员办理一份保险额度不低于50万元的人身意外保险。对于获得表彰以及被认定为烈士的医务人员的子女，在入学升学方面按规定享受相关待遇。对全省奋战在防控最前沿以及选派赴湖北武汉等地疫情一线开展疫情防控、医疗救治的工作人员及集体进行及时奖励。对获得嘉奖、记功、记大功的事业单位工作人员可以给予一次性奖金，具体标准参照公务员奖励标准，按照嘉奖1500元、记功3000元、记大功6000元的标准执行。同时，对作出重大贡献的获奖人员所在地区或单位经批准可以追加其他物质奖励。（转自：兰州晨报） ,无,无,2020-03-01 23:50,微博 weibo.com,0,0,0
IwEkxbKUM,龙头新闻,龙头新闻:#防控正处在最吃劲的关键阶段# 【鸡西市公开招聘急需紧缺医疗卫生疫情防控人员34人】为缓解疫情防控相关医疗卫生机构等事业单位医护等疫情防控工作人员不足的现状，积极应对当前新冠肺炎疫情，依据《黑龙江省事业单位公开招聘工作人员实施细则》(黑人社发〔2014〕63号)，经市委、市政府同意，决定面向社会公开招聘急需紧缺医疗卫生疫情防控人员34人。详情〉〉链接: http://t.cn/A67i7sZ7 原图 ,无,无,2020-03-01 23:50,iPhone客户端,0,0,0
IwEkv4Maj,荣庵老师,荣庵老师:新冠肺炎的源头真的在美国？美国发现单倍型H38的病毒样品，难道源头真的在美国吗？怪不得在我国疫情严重时，美国政客又是造谣，又是辱华歧视，又是军演，又是挑拨。是不是预谋呢？#新冠肺炎全球风险级别调为非常高##钟南山 新冠肺炎疫情有望4月前结束##新冠肺炎的源头在美国#  原图 ,无,无,2020-03-01 23:50,无,12,2,5
IwEkudA1P,阜阳攻略,阜阳攻略:【#日本累计确诊新冠肺炎955例#】截至日本当地时间3月1日19时30分，日本累计确诊新冠肺炎病例955例，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月1日，北海道、神奈川县、东京都、千叶县等地新确诊8名新冠肺炎患者，在日本国内的日本人和中国游客等累计确诊236例；“钻石公主”号邮轮累计确诊705例；从武汉乘坐包机返回者累计确诊14例。北海道政府1日称，2月29日晚上7时左右，居住在北海道的一名70多岁的新冠肺炎患者死亡。 http://t.cn/R2WxWOX 显示地图 ,无,http://t.cn/R2WxWOX,2020-03-01 23:50,iPhone 11,0,0,0
IwEktDhk6,无心简影,无心简影:新冠肺炎疫情下，访港旅客大减，冲击酒店业，有酒店要裁员甚至结业，然后业界批评港府未有提供协助。港府指过去多轮纾困措施，例如豁免牌照等收费，都有惠及酒店。  无心简影的微博视频  ,无,无,2020-03-01 23:50,微博视频,785,23,164
IwEkpcfKn,暮雨亦成诗Am,暮雨亦成诗Am:#腾讯新闻# 【腾讯新闻专题】全国各地防控新冠肺炎疫情 累计确诊病例79972例打开腾讯新闻 来自@腾讯新闻  原图 ,无,无,2020-03-01 23:50,腾讯新闻客户端,1,1,0
IwEkpafTt,楚天交通广播,楚天交通广播:【#大叔溜出重症病房打太极拳被劝回#】#新冠肺炎防控# #抗击新型肺炎进行时# 3月1日，华中科技大学同济医院光谷院区重症病房内，一位大叔“溜出”病房打起了太极拳。正起兴时，被医护人员“抓包”，大叔立马停住，拽了拽衣服，乖乖回了病房。网友：好心态可以有，等康复了再展拳脚！（人民日报）  http://t.cn/A67JOWzg ,无,无,2020-03-01 23:50,微博 weibo.com,6,1,0
IwEkpafaG,新浪财经,新浪财经:【#探访疫情下的大邱#，公交车上仅3名乘客，市民：现在乱套了，因为病毒什么都做不了】#韩国新增476例新冠肺炎#，其中新天地教总部所在的大邱累计确诊2372例，发生聚集性感染，成为韩国疫情重灾区。梨视频拍客看到去市中心的公交车上只有3名乘客。大邱市民称现在乱套了，因为病毒什么都做不了。http://t.cn/A67i64Ys ,无,无,2020-03-01 23:50,微博 weibo.com,356,86,115
IwEklE8dk,Believer12138,Believer12138:#明月mu3061# 德国确诊新冠肺炎病例48例，法国确诊新冠肺炎病例38例，意大利累计确诊653例病例，疫情蔓延至13个大区。北爱尔兰宣布确诊首例新冠肺炎病例。日本新冠肺炎感染者总计达919人。韩国1766例。  ,无,无,2020-03-01 23:49,微博 weibo.com,0,0,0
IwEkjxCSg,完美女人OK201205,完美女人OK201205:新冠肺炎以来，每天看见视频，我都不知道自己躲起来哭过多少回，现在如此，胃痛又犯了  ,无,无,2020-03-01 23:49,OPPO随光而变R17,0,0,0
IwEkinBaX,现当代文学狗,现当代文学狗:耿直boy //分享网易新闻:《华夏幸福新援:我来中国就为了钱 不怕新冠肺炎病毒》 华夏幸福新援:我来中国就为了钱 不怕新冠肺炎病毒 @网易新闻客户端 #网易新闻#  原图 ,无,无,2020-03-01 23:49,iPhone客户端,0,0,0
